data_execucao_simulada,data_base_previsao,horizonte_dias,previsao_classe,probabilidades,preco_inicial,preco_final,retorno_real,classe_real
2025-09-07,2025-09-05,1,Na mesma,"{""Cai"": 0.15218972617581406, ""Cai muito"": 0.23137877404619742, ""Na mesma"": 0.3987334110050255, ""Sobe"": 0.17987219864696616, ""Sobe muito"": 0.03782589012599686}",2495.25,2511.0,0.0063119927862939585,Na mesma
2025-09-07,2025-09-05,5,Cai muito,"{""Cai"": 0.10216961780310232, ""Cai muito"": 0.3782262572348295, ""Na mesma"": 0.27211362749355705, ""Sobe"": 0.21713119779592874, ""Sobe muito"": 0.030359299672582378}",2495.25,2518.25,0.009217513275222924,Na mesma
2025-09-07,2025-09-05,30,Cai muito,"{""Cai"": 0.027733911091719365, ""Cai muito"": 0.511870113769383, ""Na mesma"": 0.022393651625027718, ""Sobe"": 0.3072257266197753, ""Sobe muito"": 0.1307765968940946}",,,,
2025-09-07,2025-09-05,90,Cai muito,"{""Cai"": 0.03498775167770534, ""Cai muito"": 0.9030042821330022, ""Na mesma"": 0.01915423169137644, ""Sobe"": 0.018095221824749777, ""Sobe muito"": 0.024758512673166335}",,,,
2025-09-08,2025-09-05,1,Na mesma,"{""Cai"": 0.15218972617581406, ""Cai muito"": 0.23137877404619742, ""Na mesma"": 0.3987334110050255, ""Sobe"": 0.17987219864696616, ""Sobe muito"": 0.03782589012599686}",2495.25,2511.0,0.0063119927862939585,Na mesma
2025-09-08,2025-09-05,5,Cai muito,"{""Cai"": 0.10216961780310232, ""Cai muito"": 0.3782262572348295, ""Na mesma"": 0.27211362749355705, ""Sobe"": 0.21713119779592874, ""Sobe muito"": 0.030359299672582378}",2495.25,2518.25,0.009217513275222924,Na mesma
2025-09-08,2025-09-05,30,Cai muito,"{""Cai"": 0.027733911091719365, ""Cai muito"": 0.511870113769383, ""Na mesma"": 0.022393651625027718, ""Sobe"": 0.3072257266197753, ""Sobe muito"": 0.1307765968940946}",,,,
2025-09-08,2025-09-05,90,Cai muito,"{""Cai"": 0.03498775167770534, ""Cai muito"": 0.9030042821330022, ""Na mesma"": 0.01915423169137644, ""Sobe"": 0.018095221824749777, ""Sobe muito"": 0.024758512673166335}",,,,
2025-09-09,2025-09-08,1,Na mesma,"{""Cai"": 0.11489477303713293, ""Cai muito"": 0.24294827272224484, ""Na mesma"": 0.43247010611592823, ""Sobe"": 0.17414893947295065, ""Sobe muito"": 0.03553790865174338}",2511.0,2516.0,0.001991238550378335,Na mesma
2025-09-09,2025-09-08,5,Cai muito,"{""Cai"": 0.12127669143161926, ""Cai muito"": 0.43628455240358455, ""Na mesma"": 0.16057330986675727, ""Sobe"": 0.25603726259243487, ""Sobe muito"": 0.025828183705603986}",2511.0,2591.0,0.03185981680605336,Sobe
